"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Bebeto Külah Yumuşak Şeker (120 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","180","5","₺6,00","","Aktif"
"Oreo Bardak","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","1","₺20,00","","Aktif"
"Bebeto Wacky Stick Çilek Vanilya (75 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","540","4","₺3,85","","Aktif"
"Me-O Ton Balıklı Yaş Mama (80 g)","Evcil Hayvan","Kedi","Oda Koşulları","730","7","₺7,95","","Aktif"
"Me-O Ton Balıklı Yavru Yaş Mama (80 g)","Evcil Hayvan","Kedi","Oda Koşulları","730","8","₺7,95","","Aktif"
"Me-O Kısırlaştırılmış Yaş Kedi Maması (80 g)","Evcil Hayvan","Kedi","Oda Koşulları","730","6","₺7,95","","Aktif"
"Me-O Dana & Kuzu Etli Yaş Mama (80 g)","Evcil Hayvan","Kedi","Oda Koşulları","730","7","₺7,95","","Aktif"
"Mandıradan Tam Yağlı Olgunlaştırılmış Klasik İnek Beyaz Peyniri (600 g)","Süt & Kahvaltı","Peynir","+4","365","3","₺43,50","","Aktif"
"Sunar Mısır Yağı (2 L)","Temel Gıda","Sıvı Yağ","Oda Koşulları","720","9","₺42,90","","Aktif"
"Karpuz (9 - 10 kg)","Meyve & Sebze","Meyve","+8-12","15","0","₺24,95","","Aktif"
"Komili Kırmızı Biber Dolgulu Yeşil Zeytin (170 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","540","7","₺19,95","","Aktif"
"Pernigotti IL Gelato Yoğurt & Çilek Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","9","₺5,00","","Aktif"
"Uni Baby Aktif Islak Mendil (72 Yaprak)","Bebek","Bebek Bakım","Oda Koşulları","720","0","₺5,95","","Aktif"
"Yerli Tohum Uluhan Kokteyl Domates (500 g)","Meyve & Sebze","Sebze","+8-12","7","0","₺6,95","","Aktif"
"Komili Limon Dolgulu Yeşil Zeytin (170 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","540","9","₺19,95","","Aktif"
"Sofia 3 Katlı Mutfak Havlusu (6'lı)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","11","₺32,50","","Aktif"
"Sinbo Mulier French Press (420 ml)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","7","₺31,90","","Aktif"
"Solo Tuvalet Kağıdı (16'lı)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","19","₺42,80","","Aktif"
"Fora Doğal Salamura Siyah Zeytin Vakumlu (200 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","720","20","₺5,35","","Aktif"
"Clear Sırt Çantası (Lacivert)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺34,90","","Aktif"
"Uno Geleneksel Lavaş (12'li)","Fırından","Unlu Mamüller","Oda Koşulları","60","11","₺14,45","","Aktif"
"Pin Vitaminli Soğuk Çay Limon (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","21","₺5,45","","Aktif"
"Büyük Boy Atlet Poşet 30x60","","","Oda Koşulları","","5582","₺0,25","","İnaktif"
"Uno Tandır Lavaş (8'li)","Fırından","Unlu Mamüller","Oda Koşulları","60","13","₺16,95","","Aktif"
"Pin Vitaminli Soğuk Çay Orijinal (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","24","₺5,45","","Aktif"
"Pin Vitaminli Soğuk Çay Mandalina (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","23","₺5,45","","Aktif"
"Pin Vitaminli Soğuk Çay Şeftali (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","23","₺5,45","","Aktif"
"FX Kasesi","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","22","₺25,00","","Aktif"
"Nescafé Xpress Karamel (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","210","23","₺8,75","","Aktif"
"Sirius Portofino Espresso Blend Çekirdek (250 g)","Su & İçecek","Kahve","Oda Koşulları","360","0","₺45,75","","Aktif"
"Sırma Limonata (6 x 250 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","270","6","₺25,45","","Aktif"
"Doğanay Limonata Şekersiz (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","0","₺4,95","","İnaktif"
"Doğanay Limonata (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","0","₺4,95","","Aktif"
"Sirius Kolombiya Pratik Filtre Kahve (5'li)","Su & İçecek","Kahve","Oda Koşulları","365","6","₺27,95","","Aktif"
"Sirius House Blend Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","365","6","₺48,75","","Aktif"
"Scotch Brite Mikrofiber Temizlik Bezi (3'lü)","Ev Bakım","Temizlik","Oda Koşulları","","23","₺28,90","","Aktif"
"Yerli Tohum Renkli Domates (250 g)","Meyve & Sebze","Sebze","+8-12","8","0","₺8,25","","Aktif"
"Detan Sinekkıran Su Bazlı Sprey (275 ml)","Ev Bakım","Böcek İlacı","Oda Koşulları","","15","₺18,45","","Aktif"
"Colgate Foam Soft Diş Eti Masajı Yumuşak Diş Fırçası (Tekli)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","12","₺36,90","","Aktif"
"Sarıyer Gazozu (6 x 200 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","540","5","₺13,45","","Aktif"
"Ekmek (200 g)","Fırından","Taze Fırın","Oda Koşulları","1","0","₺1,80","","Aktif"
"Domestos Pratik Yüzey Spreyi (400 ml)","Ev Bakım","Temizlik","Oda Koşulları","","6","₺27,90","","Aktif"
"Golf Bravo Crazy Nuty (100 ml)","Dondurma","Çubuk","-18","365","13","₺7,50","","Aktif"
"Fairy Platinum Plus Bulaşık Makinesi Deterjanı Kapsülü (22'li)","Ev Bakım","Bulaşık","Oda Koşulları","","2","₺49,90","","Aktif"
"Ariste Peynir Kesme Tahtası","Süt & Kahvaltı","Peynir","Oda Koşulları","","0","₺16,90","","Aktif"
"Nilky Badem Sütü (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","210","13","₺21,90","","Aktif"
"Yayla Tane Tane Pirinç (1 kg)","Temel Gıda","Pirinç","Oda Koşulları","720","18","₺14,90","","Aktif"
"Uni Baby Aktif Oyna & Öğren Islak Havlu (3 x 52 Yaprak)","Bebek","Bebek Bakım","Oda Koşulları","720","27","₺21,30","","Aktif"
"Suyunu Bırakmayan Domates (500 g)","Meyve & Sebze","Sebze","+8-12","12","0","₺6,25","","Aktif"
"Basic A4 Beyaz Fotokopi Kağıdı (500 Sayfa)","Ev & Yaşam","Kırtasiye","Oda Koşulları","","3","₺32,90","","Aktif"
"Esperro Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","180","9","₺44,95","","Aktif"
"Tat Peri Peri Sos (225 g)","Temel Gıda","Salça & Sos","Oda Koşulları","365","11","₺12,95","","Aktif"
"Kavun Galya (2 - 3 kg)","Meyve & Sebze","Meyve","Oda Koşulları","6","0","₺14,95","","İnaktif"
"Superfresh Fırından Dondurulmuş Karışık Tahıllı Baget Ekmeği (8'li)","Fırından","Donuk Fırın","-18","365","0","₺11,95","","Aktif"
"Sensodyne Cool Mint Ağız Bakım Suyu (2 x 500 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺28,90","","Aktif"
"Parodontax Beyazlatıcı Diş Macunu (2 x 75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","9","₺38,90","","Aktif"
"Signal White Now White + Protect Diş Macunu (75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","13","₺22,50","","Aktif"
"Kotex Active Günlük Ped Ultra İnce (16'lı)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","1080","0","₺9,75","","Aktif"
"Lay's Kaşar Peyniri ve Izgara Soğan Tadında (107 g)","Atıştırmalık","Cips","Oda Koşulları","150","12","₺6,89","","Aktif"
"Eti Lifalif Vişneli Kakaolu Fındıklı Çıtır Yulaf (200 g)","Fit & Form","Tahıllı Gevrek","Oda Koşulları","270","5","₺21,75","","Aktif"
"Eti Canga Gold (45 g)","Atıştırmalık","Çikolata","Oda Koşulları","210","29","₺3,35","","Aktif"
"Eti Popkek Bitter Çikolatalı (55 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","42","₺1,65","","Aktif"
"Özerhisar Probiyotik Ayran Cam Şişe (250 ml)","Su & İçecek","Ayran & Kefir","+4","22","0","₺4,95","","Aktif"
"Oral-B Pro-Expert Stages 3-6 Yaş Çocuk Diş Macunu (75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","17","₺10,95","","Aktif"
"Oral-B Gum & Enamel Care Fresh Mint Ağız Bakım Suyu (500 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","1","₺15,95","","Aktif"
"Ipana 3D Beyazlık Luxe Perfection (2 x 75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","700","9","₺34,90","","Aktif"
"Pantene Argan Yağı Terapisi Saç Bakım Serumu (100 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺16,95","","Aktif"
"Patiswiss Yer Fıstıklı Granola (300 g)","Fit & Form","Granola","Oda Koşulları","365","2","₺28,50","","Aktif"
"Patiswiss Super Berry Granola (300 g)","Fit & Form","Granola","Oda Koşulları","365","0","₺28,50","","Aktif"
"Patiswiss Çikolatalı Granola (300 g)","Fit & Form","Granola","Oda Koşulları","365","3","₺28,50","","Aktif"
"Barilla Collezione Lazanya Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","730","10","₺30,65","","Aktif"
"Backhaus Double Chocolate Chip Cookie (70 g)","Fırından","Unlu Mamüller","Oda Koşulları","11","2","₺10,95","","Aktif"
"Pernigotti IL Gelato Bal & Badem Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","10","₺5,00","","Aktif"
"Pernigotti IL Gelato Kakaolu Kornet Mavi Karamel Dondurma (120 ml)","Dondurma","Külah","-18","365","0","₺6,00","","Aktif"
"Le Petit Marseillais Çantalı Bakım Seti (4 Ürün)","Kişisel Bakım","Duş & Banyo","Oda Koşulları","","4","₺42,90","","Aktif"
"Pronto Ahşap Yüzey Temizleyici Klasik (1 L)","Ev Bakım","Temizlik","Oda Koşulları","","14","₺32,50","","Aktif"
"Clasigo Tuzlu Karamelli Çikolata Kaplı Bar (55 g)","Dondurma","Bar","-18","720","28","₺6,00","","Aktif"
"Backhaus Chocolate Chip Cookie (70 g)","Fırından","Unlu Mamüller","Oda Koşulları","11","1","₺9,95","","Aktif"
"Meysu %100 Üzüm Suyu (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","4","₺8,15","","Aktif"
"Asil Fırın Magic Bake Kedi Dili (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","270","4","₺14,25","","Aktif"
"My Little Pony Cutie Mark Crew Sürpriz Balon Paket (1 Ürün)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","4","₺26,90","","Aktif"
"Erikli Premium Su (750 ml)","Su & İçecek","Su","Oda Koşulları","365","20","₺3,80","","Aktif"
"Erikli Premium Su (330 ml)","Su & İçecek","Su","Oda Koşulları","365","20","₺2,00","","Aktif"
"Erikli Mineral Şeftali & Kayısı (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺7,45","","İnaktif"
"Erikli Mineral Limon (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺7,45","","İnaktif"
"Fantasia Caramel Ring (140 ml)","Dondurma","Külah","-18","730","17","₺6,50","","Aktif"
"Pınar Limonata (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","120","10","₺5,65","1","Aktif"
"Kiraz (500 g)","Meyve & Sebze","Meyve","+4","6","0","₺15,45","1","İnaktif"
"Yıkanmış Göbek Salata (200 g)","Meyve & Sebze","Sebze","+4","60","14","₺6,95","","Aktif"
"Obsesso White Chocolate Mocha (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","8","₺7,75","","Aktif"
"Obsesso Caramel Macchiato (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","0","₺7,75","","Aktif"
"Nestlé 1927 Çikolatalı Sufle (2 x 100 g)","Fırından","Unlu Mamüller","+4","14","2","₺15,95","","Aktif"
"Uno 2 Kat Tahıllı Tava Ekmeği (550 g)","Fırından","Unlu Mamüller","Oda Koşulları","18","23","₺12,45","","Aktif"
"İçim Fit Kahveli Süt (500 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","120","1","₺9,60","","Aktif"
"Tadım Kavrulmuş Ay Çekirdeği (342 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","0","₺13,25","","Aktif"
"Whiskas Konserve Tavuk Kedi Maması (400 g)","Evcil Hayvan","Kedi","Oda Koşulları","540","19","₺17,40","","Aktif"
"Sirius Universe A4 Beyaz Fotokopi Kağıdı (500 Sayfa)","Ev & Yaşam","Kırtasiye","Oda Koşulları","","0","₺28,90","","Aktif"
"Golf Bravo Junior Karadut Sorbe & Badem (6'lı)","Dondurma","Çoklu","-18","730","7","₺21,55","","Aktif"
"İçim Şef Krema (200 g)","Temel Gıda","Krema","Oda Koşulları","180","37","₺7,95","","Aktif"
"Patiswiss Crunchy Karamel Bisküvi Kreması (370 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","2","₺21,90","","Aktif"
"İçim %3 Yağlı Süt (6 x 200 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","135","10","₺15,25","","Aktif"
"İçim Fit Çikolatalı Süt (500 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","120","12","₺9,60","","Aktif"
"İçim Laktozsuz Süt (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","120","33","₺8,50","","Aktif"
"İçim %3 Yağlı Süt (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","135","24","₺7,95","","Aktif"
"İçim Tost Peyniri (400 g)","Süt & Kahvaltı","Peynir","+4","180","11","₺25,50","","Aktif"
"Lipton Ice Tea Şeftali Light (6 x 330 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","5","₺21,50","","Aktif"
"Patiswiss Smooth Karamel Bisküvi Kreması (380 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","0","₺27,50","","Aktif"
"Patiswiss %55 Kakaolu Bitter Çikolata Kaplı Portakal Dilimleri (80 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺20,85","","Aktif"
"Patiswiss Kakaolu Sütlü Çikolata Kaplı Çilekli Draje (80 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺17,55","","Aktif"
"Peyman Bahçeden Kavrulmuş Siirt Fıstığı (150 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","305","17","₺27,95","","Aktif"
"Red Bull Enerji İçeceği Karpuz (250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","365","0","₺8,35","","Aktif"
"Bepanthol Kanvas Çanta (1 Adet)","Kişisel Bakım","Kozmetik","Oda Koşulları","","9","₺29,90","","Aktif"
"Yassı Şeftali (500 g)","Meyve & Sebze","Meyve","+4","7","0","₺11,45","","Aktif"
"Elidor Sağlıklı ve Canlı Görünen Saçlar Şampuanı by Afra Saraçoğlu (650 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","9","₺35,90","","Aktif"
"Cillit Bang %100 Doğal Güç Mutfak Yağ ve Kir Çözücü Karbonatlı Sprey (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","","11","₺27,50","","Aktif"
"Cillit Bang %100 Doğal Güç Banyo Temizleyici Kir ve Kireç Sökücü Limonlu Sprey (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","","11","₺27,50","","Aktif"
"Vanish Kosla Tül Temizleme Paketi (450 g & 500 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","0","₺52,99","","Aktif"
"Kiwi KWP-8510 USB Şarjlı Damacana Su Pompası","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","0","₺49,90","","Aktif"
"Meysu %100 Karışık Meyve Suyu (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","6","₺8,95","","Aktif"
"Meysu %100 Portakal Suyu (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","7","₺9,45","","Aktif"
"De Marke Futbol Quiz Vol.1 (100 Kart)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺39,90","","Aktif"
"De Marke Euro 2020 Futbol Rehberi","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","","6","₺29,90","","Aktif"
"Balparmak Süzme Çiçek Yayla Balı (460 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","720","4","₺55,50","","Aktif"
"Bebelac Gold 2 Devam Sütü (900 g)","Bebek","Mama","Oda Koşulları","540","6","₺129,90","","Aktif"
"Defans Su Bazlı Sinek Kovucu Vücut Losyonu (100 ml)","Ev Bakım","Böcek İlacı","Oda Koşulları","","9","₺10,95","","Aktif"
"Solo Kağıt Havlu (12'li)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","21","₺49,50","","Aktif"
"Pernigotti IL Gelato Karamel & Badem Dondurma (100 ml)","Dondurma","Çubuk","-18","540","0","₺8,00","","Aktif"
"Pernigotti IL Gelato Klasik Kornet Dondurma (120 ml)","Dondurma","Külah","-18","365","25","₺6,00","1","Aktif"
"Pernigotti Il Gelato Fıstıklı Kornet Dondurma (120 ml)","Dondurma","Külah","-18","365","0","₺6,00","","Aktif"
"Minika Yapıştır Tamamla Dergi","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","","1","₺10,90","","Aktif"
"Superfresh Fırından Sandviç Ekmeği (5'li)","Fırından","Donuk Fırın","-18","360","0","₺12,90","","Aktif"
"Domestos Yüzey Temizleyici Çam (1,5 L)","Ev Bakım","Temizlik","Oda Koşulları","","12","₺21,90","","Aktif"
"Elidor Elektriklenme Önleyici 7/24 Bakım Kremi (300 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","10","₺30,90","","Aktif"
"Elidor Belirgin Bukleler 7/24 Şekillendirici Bakım Kremi (300 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","11","₺30,90","","Aktif"
"Kavun Galya (1,5 - 2 kg)","Meyve & Sebze","Meyve","Oda Koşulları","6","0","₺12,45","","Aktif"
"Bonfilet Pişmiş Döner (200 g)","Et, Tavuk & Balık","Kırmızı Et","+4","25","7","₺21,90","","Aktif"
"Algida Oreo Bar (72 ml)","Dondurma","Bar","-18","720","29","₺6,50","","Aktif"
"Algida Max Minions Muz & Karamel (87 ml)","Dondurma","Çubuk","-18","720","0","₺2,50","","Aktif"
"Bebelac Gold 3 Çocuk Devam Sütü (900 g)","Bebek","Mama","Oda Koşulları","540","5","₺129,90","","Aktif"
"Bebelac Gold 1 Bebek Sütü (900 g)","Bebek","Mama","Oda Koşulları","540","6","₺129,90","","Aktif"
"Garnier Micellar Kusursuz Makyaj Temizleme Suyu (200 ml)","Kişisel Bakım","Kozmetik","Oda Koşulları","","0","₺12,95","","Aktif"
"Sütaş Buzu (1 Ürün)","Süt & Kahvaltı","Süt","Oda Koşulları","","0","₺69,00","","İnaktif"
"Fişek Dergi","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","","3","₺15,00","","Aktif"
"Ülker Halley Çikolata Kaplı Bisküvi (240 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","7","₺8,80","","Aktif"
"Saka Su (5 L)","Su & İçecek","Su","Oda Koşulları","450","0","₺5,95","","Aktif"
"Saka Su (6 x 500 ml)","Su & İçecek","Su","Oda Koşulları","450","11","₺7,75","","Aktif"
"Saka Su (6 x 1,5 L)","Su & İçecek","Su","Oda Koşulları","450","40","₺13,50","","Aktif"
"Çamlıca Gazoz Şekersiz (6 x 200 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","5","₺11,85","","Aktif"
"Çamlıca Gazoz (6 x 200 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","10","₺11,85","","Aktif"
"Çamlıca Gazoz Şekersiz (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","10","₺4,65","","Aktif"
"Çamlıca Gazoz (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","12","₺4,65","","Aktif"
"Maltana Mojito Alkolsüz Malt İçeceği (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","6","₺5,35","","Aktif"
"Maltana Cosmopolitan Alkolsüz Malt İçeceği (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","10","₺5,35","","Aktif"
"Maltana Ginseng Aromalı Enerji İçeceği (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","14","₺4,85","","Aktif"
"Maltana Ananas Aromalı Alkolsüz Malt İçeceği (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","16","₺4,85","","Aktif"
"Krombacher %0,0 Alkolsüz Bira (330 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","300","9","₺14,95","","Aktif"
"Pazarlamasyon","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","","2","₺29,50","","Aktif"
"Café Crown 3'ü 1 Arada Fındık Aromalı (10'lu)","Su & İçecek","Kahve","Oda Koşulları","540","1","₺8,75","","Aktif"
"Mini Karpuz (2-3 kg)","Meyve & Sebze","Meyve","Oda Koşulları","15","0","₺11,95","","Aktif"
"Exotic Limonata (330 ml)","Su & İçecek","Meyve Suyu","+4","30","7","₺6,65","2","Aktif"
"Tadım Şenlik Soslu Karışık Kuruyemiş (140 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","12","₺16,95","","Aktif"
"Snickers White Dondurma (45 ml)","Dondurma","Bar","-18","720","0","₺8,00","","Aktif"
"Play-Doh Bon Bon Parti Seti (10 Adet)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺45,90","","Aktif"
"Café Crown Kutu (13 Ürün)","Su & İçecek","Kahve","Oda Koşulları","365","0","₺19,95","","Aktif"
"Erik (500 g)","Meyve & Sebze","Meyve","+8-12","6","0","₺12,45","","İnaktif"
"Lipton Ice Tea Double Şeftali & Kayısı (1,5 L)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","8","₺7,00","","Aktif"
"KAFA Özel Sayı - Müzik","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","130","26","₺25,00","","Aktif"
"Knorr Zencefil (50 g)","Temel Gıda","Baharat","Oda Koşulları","720","12","₺6,40","","Aktif"
"Knorr Tarçın (40 g)","Temel Gıda","Baharat","Oda Koşulları","720","12","₺5,55","","Aktif"
"Knorr Kimyon (65 g)","Temel Gıda","Baharat","Oda Koşulları","720","9","₺5,75","","Aktif"
"Knorr Kekik (20 g)","Temel Gıda","Baharat","Oda Koşulları","720","11","₺2,65","","Aktif"
"Knorr Kuru Nane (25 g)","Temel Gıda","Baharat","Oda Koşulları","720","14","₺2,35","","Aktif"
"Knorr Karabiber (60 g)","Temel Gıda","Baharat","Oda Koşulları","720","12","₺6,75","","Aktif"
"Knorr Pul Biber (65 g)","Temel Gıda","Baharat","Oda Koşulları","720","18","₺4,65","","Aktif"
"Play-Doh Oyun Matı","","","","","10","","","İnaktif"
"İnci Ayçiçek Yağı (1 L)","Temel Gıda","Sıvı Yağ","Oda Koşulları","540","0","₺21,95","","Aktif"
"Beyoğlu Gazozu Premium Siyah Meyan Kökü & Biberiyeli (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","540","3","₺31,85","","Aktif"
